sno,Age,Price/Ft^2/Bedrooms
1,36,291
2,58,289
3,64,289
4,67,288
5,58,280
6,18,279
,62,278
,67,276
,33,275
,68,269
,70,265
,64,264
,72,259
,64,257
,68,253
,65,253
,33,247
,64,246
,32,244
,11,244
,89,236
,40,235
,34,234
,61,233
,18,233
,56,232
,63,232
,67,229
,40,229
,65,229
,65,228
,44,227
,66,227
,65,227
,33,226
,40,226
,69,226
,33,226
,35,223
,42,222
,57,222
,56,221
,54,221
,52,220
,61,219
,64,217
,49,215
,35,215
,12,214
,36,214
,23,214
,65,213
,59,213
,20,211
,23,211
,53,210
,33,209
,33,208
,66,208
,27,208
,51,207
,41,207
,53,207
,54,207
,69,205
,52,204
,50,204
,51,204
,64,203
,49,203
,51,203
,65,202
,4,202
,56,201
,33,200
,65,200
,60,200
,59,200
,45,200
,35,200
,58,197
,62,197
,59,196
,52,196
,41,195
,33,194
,63,194
,62,194
,52,194
,58,194
,50,194
,36,194
,39,194
,52,193
,58,193
,50,193
,6,193
,46,193
,57,192
,59,192
,58,192
,58,192
,56,192
,52,191
,54,191
,51,191
,33,190
,61,190
,68,189
,36,189
,69,189
,54,189
,57,189
,44,189
,33,189
,63,189
,63,188
,31,188
,21,188
,43,187
,60,187
,50,187
,31,186
,57,186
,77,186
,64,186
,10,185
,57,185
,62,184
,59,183
,74,183
,57,183
,6,183
,33,183
,48,183
,43,182
,5,182
,63,182
,52,181
,58,181
,51,181
,63,180
,61,180
,47,180
,63,180
,51,180
,48,180
,57,179
,65,179
,52,179
,51,179
,39,179
,55,178
,56,178
,45,178
,16,177
,54,176
,52,176
,20,176
,65,175
,33,175
,55,175
,52,175
,41,175
,68,175
,56,175
,51,175
,46,175
,53,175
,18,175
,42,175
,41,175
,88,175
,33,174
,63,174
,63,174
,40,174
,53,174
,32,174
,33,174
,56,174
,64,174
,18,173
,56,173
,38,173
,59,173
,53,173
,50,173
,65,173
,38,173
,67,172
,69,172
,60,172
,51,172
,68,172
,60,172
,8,172
,57,172
,35,172
,65,171
,47,171
,55,171
,53,170
,61,170
,60,170
,52,170
,40,170
,89,170
,56,170
,48,169
,53,169
,57,169
,51,169
,24,169
,42,169
,32,169
,56,168
,52,168
,14,168
,33,167
,33,167
,32,167
,61,167
,57,166
,59,166
,37,166
,51,166
,40,165
,58,165
,54,165
,15,165
,14,165
,31,164
,54,164
,53,164
,57,164
,17,164
,57,164
,60,164
,65,163
,65,163
,67,163
,51,163
,24,163
,33,162
,64,162
,46,162
,36,162
,51,162
,44,162
,43,162
,55,161
,46,161
,51,161
,58,161
,59,161
,63,160
,46,160
,38,160
,45,160
,0,160
,0,160
,64,159
,65,159
,50,159
,54,159
,62,159
,32,159
,19,159
,0,159
,63,158
,63,158
,33,158
,69,158
,31,158
,4,158
,42,157
,50,157
,42,157
,60,157
,52,157
,36,157
,61,157
,64,156
,65,156
,37,156
,35,156
,54,156
,62,156
,32,156
,45,156
,51,156
,32,156
,46,155
,28,155
,59,155
,58,155
,62,155
,51,155
,68,155
,35,155
,36,155
,53,154
,54,154
,67,154
,60,154
,51,154
,20,154
,44,154
,39,154
,33,153
,52,153
,50,153
,50,153
,50,153
,36,153
,3,153
,57,152
,65,152
,64,152
,36,152
,40,152
,52,152
,36,152
,30,152
,51,152
,7,152
,15,152
,64,151
,30,151
,55,151
,65,151
,43,151
,52,151
,35,151
,41,151
,61,151
,44,151
,6,151
,31,150
,60,150
,51,150
,59,150
,27,150
,51,150
,46,150
,24,149
,24,149
,57,149
,59,149
,42,149
,32,149
,27,149
,21,149
,33,149
,53,149
,61,148
,43,148
,52,148
,37,148
,68,148
,34,148
,62,148
,44,148
,35,148
,30,147
,62,147
,37,147
,42,147
,50,147
,47,147
,40,147
,64,146
,1,146
,59,146
,44,145
,33,145
,14,145
,35,145
,68,144
,64,144
,53,144
,52,144
,57,144
,45,144
,25,144
,64,143
,69,143
,54,143
,42,143
,36,143
,45,143
,59,142
,62,142
,40,142
,61,142
,51,142
,38,142
,33,142
,33,141
,64,141
,65,141
,43,141
,65,141
,43,141
,66,141
,40,141
,37,141
,24,141
,51,141
,44,141
,38,141
,38,140
,50,140
,52,140
,60,140
,38,140
,11,140
,44,139
,42,139
,25,139
,52,139
,36,139
,0,139
,24,138
,50,138
,50,138
,52,138
,49,138
,32,138
,23,138
,35,138
,58,137
,47,137
,64,137
,23,137
,42,137
,51,137
,38,137
,42,137
,5,137
,64,136
,49,136
,53,136
,23,136
,26,136
,34,135
,37,135
,62,135
,41,135
,44,135
,24,134
,60,134
,51,134
,40,134
,17,134
,42,134
,54,134
,28,134
,53,134
,38,133
,38,133
,60,133
,58,133
,52,133
,47,133
,43,133
,29,133
,1,133
,44,132
,32,132
,63,132
,36,132
,56,132
,21,132
,18,132
,42,132
,29,132
,44,132
,33,132
,46,131
,39,131
,60,131
,37,131
,54,131
,47,131
,32,131
,9,131
,0,131
,6,131
,43,131
,49,130
,63,130
,62,130
,60,130
,52,130
,28,130
,54,130
,14,130
,33,130
,45,130
,32,129
,41,129
,53,129
,52,129
,47,129
,41,129
,0,129
,28,129
,31,129
,14,129
,35,129
,59,128
,41,128
,35,128
,51,128
,1,128
,70,127
,35,127
,31,127
,45,127
,59,127
,37,127
,5,127
,41,126
,62,126
,45,126
,45,126
,54,126
,54,126
,46,126
,0,126
,50,126
,57,126
,42,125
,65,125
,65,125
,32,125
,65,125
,65,125
,68,125
,1,125
,60,125
,63,125
,53,125
,0,125
,0,125
,41,125
,35,125
,1,125
,16,124
,58,124
,64,124
,62,124
,34,124
,59,124
,48,124
,12,124
,1,124
,65,123
,21,123
,51,123
,65,123
,40,123
,53,123
,64,123
,43,123
,55,123
,32,123
,40,123
,46,123
,11,123
,33,123
,42,123
,36,123
,33,123
,35,123
,64,122
,59,122
,64,122
,54,122
,63,122
,59,122
,17,122
,18,122
,46,122
,38,122
,1,122
,55,121
,61,121
,62,121
,51,121
,49,121
,48,121
,16,121
,36,121
,41,120
,45,120
,58,120
,47,120
,63,120
,50,120
,20,120
,32,120
,45,120
,19,120
,33,120
,35,120
,81,119
,32,119
,31,119
,35,119
,52,119
,60,119
,2,119
,50,119
,5,119
,63,119
,52,119
,50,119
,37,119
,0,119
,33,118
,47,118
,31,118
,27,118
,41,118
,30,118
,30,118
,47,118
,53,118
,53,118
,0,118
,53,117
,31,117
,47,117
,50,117
,49,117
,63,117
,55,117
,1,117
,0,117
,59,116
,64,116
,48,116
,39,116
,36,116
,57,116
,69,116
,61,116
,52,116
,41,116
,54,116
,-1,116
,39,116
,0,116
,14,116
,65,115
,40,115
,58,115
,2,115
,20,115
,20,115
,52,115
,37,115
,41,115
,54,115
,39,115
,48,115
,55,115
,51,115
,28,115
,53,115
,40,115
,1,115
,48,114
,33,114
,41,114
,25,114
,63,114
,62,114
,56,114
,50,114
,55,114
,13,114
,37,114
,36,114
,35,114
,39,114
,6,114
,4,114
,30,113
,37,113
,26,113
,42,113
,38,113
,19,113
,19,113
,4,113
,0,113
,0,113
,49,113
,45,113
,16,113
,1,113
,64,112
,47,112
,36,112
,37,112
,23,112
,67,112
,43,112
,52,112
,40,112
,35,112
,50,112
,1,112
,29,112
,45,112
,0,112
,60,111
,57,111
,32,111
,39,111
,33,111
,19,111
,0,111
,24,111
,61,111
,65,111
,61,111
,51,111
,60,111
,8,111
,14,111
,0,111
,57,110
,44,110
,19,110
,53,110
,59,110
,55,110
,38,110
,29,110
,21,110
,59,110
,32,110
,0,110
,35,110
,6,110
,0,110
,0,110
,66,109
,64,109
,57,109
,43,109
,29,109
,40,109
,42,109
,23,109
,51,109
,52,109
,61,109
,50,109
,42,109
,52,109
,54,109
,55,109
,47,109
,43,109
,36,109
,40,109
,12,109
,53,109
,47,108
,41,108
,46,108
,38,108
,21,108
,24,108
,29,108
,3,108
,51,108
,47,108
,53,108
,62,108
,50,108
,42,108
,56,108
,50,108
,6,108
,46,107
,30,107
,46,107
,18,107
,40,107
,50,107
,35,107
,60,107
,53,107
,51,107
,54,107
,45,107
,30,107
,52,107
,20,107
,45,107
,42,107
,29,107
,1,107
,36,107
,53,106
,50,106
,20,106
,30,106
,59,106
,36,106
,20,106
,69,106
,46,106
,58,106
,59,106
,57,106
,39,106
,51,106
,46,106
,44,106
,8,106
,45,106
,43,106
,97,106
,35,106
,15,106
,0,106
,6,106
,5,106
,40,105
,46,105
,9,105
,0,105
,35,105
,46,105
,42,105
,69,105
,63,105
,53,105
,41,105
,31,105
,3,105
,50,105
,2,105
,1,105
,51,105
,12,105
,48,105
,1,105
,1,105
,3,105
,65,104
,26,104
,45,104
,35,104
,23,104
,59,104
,54,104
,52,104
,53,104
,45,104
,31,104
,54,104
,0,104
,12,104
,46,104
,14,104
,64,103
,56,103
,54,103
,44,103
,47,103
,46,103
,29,103
,24,103
,32,103
,19,103
,7,103
,23,103
,52,103
,28,103
,43,103
,44,103
,34,103
,31,103
,22,103
,20,103
,53,103
,35,103
,1,103
,58,102
,61,102
,34,102
,41,102
,27,102
,12,102
,63,102
,60,102
,55,102
,44,102
,47,102
,0,102
,0,102
,0,102
,30,102
,26,102
,3,102
,5,102
,1,102
,47,101
,45,101
,41,101
,27,101
,16,101
,32,101
,50,101
,54,101
,60,101
,53,101
,36,101
,33,101
,36,101
,0,101
,51,101
,50,101
,38,101
,27,101
,13,101
,9,101
,55,100
,64,100
,62,100
,57,100
,40,100
,41,100
,42,100
,33,100
,47,100
,1,100
,39,100
,34,100
,43,100
,15,100
,12,100
,8,100
,35,100
,22,100
,0,100
,36,100
,8,100
,1,100
,65,99
,64,99
,41,99
,30,99
,25,99
,57,99
,59,99
,44,99
,62,99
,58,99
,0,99
,54,99
,52,99
,41,99
,22,99
,34,99
,35,99
,32,99
,38,99
,1,99
,1,99
,3,99
,34,99
,4,99
,1,99
,5,99
,65,98
,48,98
,23,98
,24,98
,61,98
,56,98
,44,98
,54,98
,57,98
,40,98
,60,98
,18,98
,52,98
,1,98
,35,98
,11,98
,54,98
,53,98
,33,98
,35,98
,32,98
,1,98
,58,97
,51,97
,45,97
,55,97
,29,97
,58,97
,29,97
,1,97
,1,97
,33,97
,53,97
,57,97
,40,97
,6,97
,9,97
,13,97
,0,97
,18,97
,53,97
,35,97
,49,97
,1,97
,14,97
,14,97
,1,97
,1,97
,41,96
,54,96
,45,96
,43,96
,40,96
,27,96
,43,96
,0,96
,68,96
,65,96
,57,96
,63,96
,52,96
,25,96
,43,96
,51,96
,1,96
,56,96
,37,96
,1,96
,41,95
,58,95
,40,95
,34,95
,58,95
,12,95
,58,95
,53,95
,40,95
,36,95
,48,95
,56,95
,25,95
,11,95
,42,95
,44,95
,11,95
,64,94
,46,94
,57,94
,34,94
,29,94
,23,94
,30,94
,0,94
,58,94
,64,94
,54,94
,44,94
,45,94
,48,94
,55,94
,52,94
,52,94
,0,94
,0,94
,0,94
,1,94
,11,94
,1,94
,10,94
,46,93
,42,93
,40,93
,59,93
,24,93
,56,93
