Bathrooms,Bedrooms,Fireplaces Total,Lot Square Footage,Parking Covered Total,Square Footage,Square Footage Unfinished,Year Built,Age,Original Price,City,Selling Price
1,5,1,40752,0,2110,400,1909,112,998000,1,910000
1,2,0,13381,2,960,0,1928,93,1789000,1,1547150
1,2,0,11242,1,1190,0,1930,91,470000,5,560000
1,4,0,12121,4,1340,980,1938,83,575000,1,635000
1,2,1,15265,1,940,220,1942,79,650000,1,655000
1,2,1,11497,1,930,930,1950,71,1550000,6,1430000
1,1,1,11262,1,1320,0,1950,71,1595000,1,1680000
1,3,0,9720,1,1360,0,1951,70,760000,1,770000
1,2,0,7154,1,1110,0,1951,70,800000,1,785000
1,3,1,11413,1,1410,0,1951,70,1068000,1,1068000
1,2,0,13503,2,800,0,1952,69,599000,5,660000
1,3,1,9891,1,1410,0,1953,68,1425000,1,1600000
1,3,1,10600,2,1290,0,1954,67,699000,1,628000
1,2,1,10074,0,1700,620,1956,65,599450,1,589450
1,3,1,8040,1,970,0,1956,65,658000,1,675000
1,3,1,8000,2,1380,0,1956,65,750000,1,750000
1,3,1,8828,1,1250,0,1957,64,669000,1,690000
1,3,1,8925,1,1330,0,1958,63,650000,5,622500
1,4,0,7735,2,1190,0,1959,62,665000,1,630000
1,3,1,7700,1,1250,0,1959,62,569000,1,642000
1,4,0,6900,0,1220,0,1959,62,650000,1,650000
1,3,1,7300,0,1340,0,1959,62,679000,1,680000
1,3,0,7280,2,1100,0,1960,61,659000,1,602462.5
1,3,1,7416,2,1215,0,1960,61,699000,1,699000
1,3,1,7350,2,1100,0,1960,61,729950,1,700000
1,4,0,7350,1,1070,0,1960,61,690000,1,660000
1,4,1,7280,2,1100,0,1960,61,625000,1,655000
1,4,0,7140,1,1940,0,1960,61,599000,1,635000
1,4,0,7875,0,1200,0,1960,61,685000,1,680000
1,3,1,9375,1,1190,0,1962,59,674950,5,659000
1,3,1,11568,2,1320,0,1962,59,699000,5,680000
1,3,1,9174,1,910,0,1970,51,574999,5,585000
1,3,2,18200,2,2120,0,1971,50,800000,1,725000
1,2,0,10546,1,2270,690,1978,43,600000,5,610000
1,2,1,3741,2,800,800,1986,35,499950,5,515000
1.25,3,2,28010,0,1780,0,1949,72,715000,1,673997
1.5,3,1,12825,2,1440,0,1945,76,785000,1,790000
1.5,2,1,10710,1,1080,0,1952,69,1300000,1,1090000
1.5,3,1,8540,1,1600,0,1952,69,1195000,1,1097500
1.5,3,1,8400,2,1250,0,1952,69,1588000,1,1370000
1.5,4,1,10495,1,1370,0,1954,67,689999,1,670000
1.5,3,1,8640,1,1120,260,1954,67,748800,1,763000
1.5,3,1,11575,2,1300,0,1954,67,775000,1,780000
1.5,3,2,9097,2,1350,0,1954,67,1350000,1,1505000
1.5,3,2,8500,1,1560,0,1955,66,700000,1,680000
1.5,3,1,8767,1,950,0,1955,66,750000,1,730000
1.5,3,1,7300,2,1850,0,1956,65,599000,1,627280
1.5,3,1,7545,2,1120,0,1956,65,645000,1,630000
1.5,3,1,7029,2,1120,0,1956,65,675000,1,649600
1.5,3,2,7129,1,1250,0,1956,65,675000,1,675000
1.5,3,1,8404,2,1290,0,1957,64,750000,1,750000
1.5,4,1,11250,0,1900,0,1958,63,895000,1,840000
